,Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,KhoiA00,KhoiA01,KhoiB00,KhoiC00,KhoiD00,KhoiD07
136,53000137,6.4,6.25,4.0,6.0,6.75,4.5,5.75,,,,,19.15,16.4,17.65,,16.65,17.15
137,53000138,7.0,8.75,7.0,5.5,7.0,5.25,5.92,,,,,19.5,19.5,19.25,,22.75,21.0
138,53000139,7.2,4.5,3.4,5.5,4.25,4.0,4.58,,,,,16.95,16.1,15.45,,15.100000000000001,14.850000000000001
139,53000140,5.0,7.75,4.2,,,,,5.5,4.0,8.25,5.92,,,,17.25,16.95,
140,53000141,7.6,7.0,6.0,,,,,5.25,6.0,9.25,6.83,,,,18.25,20.6,
141,53000142,7.0,7.0,4.6,7.0,8.0,7.5,7.5,,,,,22.0,18.6,22.5,,18.6,19.6
142,53000143,8.2,8.25,5.6,7.5,8.75,7.25,7.83,,,,,24.45,21.299999999999997,24.2,,22.049999999999997,22.549999999999997
143,53000144,5.8,6.0,5.4,5.25,5.75,6.25,5.75,,,,,16.8,16.45,17.8,,17.2,16.95
144,53000145,5.0,6.5,4.8,,,,,6.0,7.75,9.0,7.58,,,,20.25,16.3,
145,53000146,6.0,7.0,3.6,,,,,6.75,6.5,8.5,7.25,,,,20.25,16.6,
146,53000147,6.8,7.5,7.4,6.25,5.25,6.0,5.83,,,,,18.3,20.45,18.05,,21.7,19.45
147,53000148,5.6,6.75,3.4,,,,,4.5,5.25,8.25,6.0,,,,16.5,15.75,
148,53000149,4.8,7.25,3.4,,,,,6.0,4.75,7.75,6.17,,,,18.0,15.45,
149,53000150,6.4,5.92,4.6,,,,,7.0,6.0,9.0,7.33,,,,18.92,16.92,
150,53000151,5.2,6.0,2.8,,,,,5.25,4.0,7.75,5.67,,,,15.25,14.0,
151,53000152,5.2,6.5,3.4,4.5,4.5,5.5,4.83,,,,,14.2,13.100000000000001,15.2,,15.100000000000001,13.100000000000001
152,53000153,6.8,7.75,4.6,,,,,7.0,7.25,9.25,7.83,,,,22.0,19.15,
153,53000154,7.8,8.25,5.2,7.0,8.0,6.25,7.08,,,,,22.8,20.0,22.05,,21.25,21.0
154,53000155,4.6,5.25,4.6,4.75,7.5,5.5,5.92,,,,,16.85,13.95,17.6,,14.45,16.7
155,53000156,6.0,8.0,4.4,,,,,7.25,6.25,9.5,7.67,,,,21.5,18.4,
156,53000157,6.6,9.0,8.6,,,,,6.5,6.0,9.0,7.17,,,,21.5,24.200000000000003,
157,53000158,8.2,7.5,7.0,7.75,7.5,5.5,6.92,,,,,23.45,22.95,21.2,,22.7,22.7
