Code,DiaLi,GDCD,HoaHoc,KHTN,KHXH,LichSu,ListGroup,NgoaiNgu,NguVan,Result,SinhHoc,Toan,VatLi
01000177,8.00,8.50,,,8.33,8.50,[],9.60,8.25,,,8.20,
01000178,7.00,8.50,,,7.83,8.00,[],8.00,7.00,,,7.00,
01000179,7.00,8.75,,,8.17,8.75,[],8.60,6.50,,,7.40,
01000180,6.75,9.25,,,7.75,7.25,[],3.20,6.00,,,4.60,
01000181,7.00,8.00,,,7.00,6.00,[],2.80,7.25,,,5.00,
01000182,7.75,,,,,6.00,[],,5.00,,,4.00,
01000183,,,8.00,5.33,,,[],7.60,5.75,,3.25,8.00,4.75
01000184,6.00,8.25,,,7.17,7.25,[],6.60,6.25,,,7.00,
01000185,,,8.00,7.58,,,[],9.20,7.75,,5.25,9.60,9.50
01000186,,,2.50,5.00,,,[],9.40,6.25,,4.75,9.00,7.75
01000187,7.50,7.75,,,7.42,7.00,[],7.60,7.75,,,7.40,
01000188,8.50,7.75,,,7.58,6.50,[],6.00,7.75,,,8.00,
01000189,4.00,8.25,,,5.92,5.50,[],7.00,8.00,,,8.60,
01000190,5.50,7.50,,,6.83,7.50,[],,5.17,,,5.40,
01000191,,,8.25,6.83,,,[],8.00,8.00,,8.00,8.20,4.25
01000192,8.75,8.50,,,8.42,8.00,[],9.60,7.75,,,8.20,
01000193,5.50,8.25,,,6.92,7.00,[],7.40,8.50,,,8.00,
01000194,,,7.75,7.17,,,[],7.80,7.75,,8.75,8.80,5.00
01000195,8.50,9.00,,,8.92,9.25,[],7.00,8.50,,,8.40,
01000196,6.50,8.00,,,7.00,6.50,[],7.40,9.00,,,7.60,
01000197,7.75,8.75,,,8.42,8.75,[],9.00,8.00,,,7.60,
01000198,7.00,9.00,,,8.17,8.50,[],8.40,6.50,,,5.40,
01000199,,,8.25,6.83,,,[],9.00,7.50,,4.75,8.60,7.50
01000200,,,6.25,6.00,,,[],8.40,6.25,,4.25,7.60,7.50
01000201,6.75,8.00,,,7.42,7.50,[],6.00,6.50,,,6.60,
01000202,8.50,9.25,,,8.67,8.25,[],8.40,8.50,,,8.40,
01000203,6.00,6.75,,,5.92,5.00,[],4.80,7.25,,,6.60,
01000204,7.25,9.50,,,7.92,7.00,[],8.00,7.50,,,7.40,
01000205,,,,,,,[],8.80,9.00,,,8.20,
01000206,7.25,,,,,6.25,[],,5.00,,,4.40,
01000207,7.00,8.00,,,6.75,5.25,[],7.40,8.50,,,7.80,
01000208,9.00,9.00,,,8.42,7.25,[],7.60,9.00,,,8.20,
01000209,6.75,7.75,,,7.00,6.50,[],7.80,8.25,,,7.20,
01000210,,,3.25,5.08,,,[],8.00,5.75,,3.25,8.00,8.75
01000211,,,8.00,6.67,,,[],8.20,6.25,,8.75,8.40,3.25
01000212,7.25,8.50,,,6.42,3.50,[],3.60,6.75,,,7.60,
01000213,7.50,9.00,,,8.17,8.00,[],9.20,8.75,,,7.20,
01000214,7.50,7.75,,,7.33,6.75,[],6.80,7.50,,,7.20,
01000215,7.25,8.00,,,6.83,5.25,[],7.80,7.50,,,7.00,
01000216,5.50,7.50,,,6.08,5.25,[],9.00,8.75,,,8.40,
01000217,6.25,8.75,,,7.42,7.25,[],8.60,8.50,,,9.40,
01000218,8.75,8.50,,,7.92,6.50,[],9.40,6.00,,,8.40,
01000219,6.50,8.25,,,7.25,7.00,[],7.40,8.25,,,7.60,
01000220,6.75,7.75,,,7.17,7.00,[],9.00,8.00,,,8.00,
01000221,,,7.75,7.50,,,[],9.00,6.50,,6.00,7.80,8.75
01000222,6.00,7.50,,,6.83,7.00,[],6.80,7.00,,,7.00,
01000223,8.00,9.00,,,8.42,8.25,[],3.20,8.00,,,6.60,
01000224,5.50,6.75,,,6.50,7.25,[],9.00,8.50,,,8.80,
01000225,6.50,8.25,,,7.08,6.50,[],9.20,8.00,,,7.80,
01000226,7.75,9.50,,,8.50,8.25,[],9.00,9.25,,,7.40,
01000227,6.00,8.50,,,7.17,7.00,[],2.80,7.75,,,2.80,
01000228,6.50,9.00,,,8.08,8.75,[],9.00,7.75,,,7.60,
01000229,,,5.75,5.67,,,[],8.20,6.00,,3.25,7.20,8.00
01000230,7.00,8.75,,,8.25,9.00,[],8.20,7.25,,,8.00,
01000231,3.00,,,,,5.00,[],,5.00,,,2.60,
01000232,,,8.00,6.42,,,[],5.00,6.75,,4.50,8.00,6.75
01000233,5.00,,,,,6.25,[],,6.00,,,3.40,
01000234,,,6.25,6.67,,,[],8.20,6.25,,4.50,9.20,9.25
