Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,Fail
64000274,4.8,7.25,3.6,,,,,7.25,8.0,8.0,7.75,
64000275,5.4,7.0,4.6,,,,,8.5,8.0,8.5,8.33,
64000276,6.2,6.75,3.6,7.0,6.0,5.5,6.17,,,,,
64000277,2.8,5.0,,,,,,6.75,6.25,,,
64000278,7.8,8.0,4.8,7.5,7.75,8.0,7.75,,,,,
64000279,8.4,7.75,,,,,,,9.75,,,
64000280,6.6,8.25,5.0,,,,,5.75,6.25,9.75,7.25,
64000281,6.4,4.25,2.4,,,,,6.5,7.5,8.0,7.33,
64000282,8.2,8.5,8.0,7.25,8.25,7.25,7.58,,,,,
64000283,4.8,4.5,2.4,,,,,7.5,6.0,8.5,7.33,
64000284,5.0,5.75,2.6,,,,,8.25,6.25,7.75,7.42,
64000285,6.0,5.5,4.8,,,,,7.75,8.0,9.5,8.42,
64000286,7.6,7.25,4.6,,,,,9.25,9.5,9.25,9.33,
64000287,8.8,6.75,4.4,8.0,8.5,5.5,7.33,,,,,
64000288,7.4,6.25,3.4,7.25,3.5,3.25,4.67,,,,,
64000289,2.0,4.0,,,,,,7.5,6.25,,,
64000290,4.4,5.25,2.8,,,,,7.0,5.25,8.25,6.83,
64000291,7.4,8.0,8.2,,,,,7.5,7.75,7.5,7.58,
64000292,4.8,7.25,3.8,,,,,6.0,5.25,6.0,5.75,
64000293,3.6,5.75,2.6,,,,,5.0,4.0,7.25,5.42,
64000294,3.4,5.5,,,,,,4.25,5.25,,,
64000295,3.8,5.5,3.0,,,,,3.75,6.5,5.75,5.33,
64000296,8.2,5.5,2.8,,,,,5.25,8.0,7.25,6.83,
64000297,5.8,7.25,2.4,5.75,5.25,5.5,5.5,,,,,
64000298,,,3.4,,3.75,,,,,,,
64000299,,5.75,,,,,,6.25,4.5,,,
64000300,3.0,5.0,,,,,,5.75,5.5,,,
64000301,7.6,6.5,3.0,7.5,8.25,4.5,6.75,,,,,
64000302,4.4,5.75,3.2,,,,,4.25,5.75,4.75,4.92,
64000303,5.8,4.5,,,,,,5.75,4.5,,,
64000304,2.0,4.25,,,,,,3.25,3.5,,,
64000305,7.4,4.75,3.4,,,,,6.5,8.0,8.25,7.58,
64000306,4.8,5.25,4.8,,,,,7.25,7.0,8.75,7.67,
64000307,8.2,6.75,5.8,8.5,9.0,8.0,8.5,,,,,
64000308,7.6,9.0,8.6,,,,,7.0,8.0,9.0,8.0,
64000309,4.4,5.25,,,,,,5.25,6.0,,,
64000310,2.4,5.25,,,,,,6.0,4.0,,,
64000311,7.4,6.75,3.2,,,,,7.0,7.0,7.25,7.08,
64000312,3.4,5.5,3.2,,,,,7.75,9.0,7.5,8.08,
64000313,6.6,4.25,,,,,,,6.0,,,
64000314,8.0,5.5,5.0,7.75,7.5,4.25,6.5,,,,,
64000315,7.6,5.25,3.8,,,,,7.0,8.25,8.5,7.92,
64000316,8.0,6.0,6.4,7.25,7.5,5.5,6.75,,,,,
64000317,2.0,5.0,3.2,,,,,6.0,6.75,6.5,6.42,
64000318,5.8,5.0,3.2,,,,,5.5,7.5,7.75,6.92,
64000319,8.4,5.75,2.4,8.25,8.25,7.0,7.83,,,,,
64000320,5.6,5.5,2.2,,,,,6.25,5.75,9.0,7.0,
64000321,6.0,7.5,3.0,,,,,8.5,9.0,8.25,8.58,
64000322,3.2,4.0,3.2,,,,,5.25,3.75,5.75,4.92,
64000323,4.8,6.0,3.6,,,,,6.0,4.5,7.0,5.83,
64000324,5.0,6.0,3.0,,,,,6.25,6.5,6.75,6.5,
64000325,5.4,6.75,,,,,,5.75,6.75,,,
64000326,8.4,5.75,4.2,,,,,6.75,5.75,7.75,6.75,
64000327,4.2,4.0,,,,,,5.75,5.75,,,
64000328,5.6,6.0,3.4,,,,,7.25,5.25,7.25,6.58,
64000329,7.4,6.25,4.2,,,,,5.5,5.75,7.75,6.33,
64000330,5.8,7.25,4.2,,,,,7.0,6.75,8.5,7.42,
64000331,3.4,5.25,,,,,,5.5,3.0,,,
64000332,5.6,5.5,6.8,,,,,7.0,7.25,7.5,7.25,
64000333,7.4,7.0,5.8,,,,,7.5,8.75,9.25,8.5,
64000334,5.4,7.0,2.0,6.0,4.0,4.5,4.83,,,,,
64000335,6.8,5.5,2.6,,,,,5.5,7.75,8.5,7.25,
64000336,4.0,6.0,,,,,,7.75,6.75,,,
64000337,6.0,7.0,3.6,,,,,7.25,5.25,8.25,6.92,
64000338,3.8,6.5,3.6,,,,,5.0,5.0,8.0,6.0,
64000339,5.2,7.5,2.4,,,,,5.0,5.0,7.5,5.83,
64000340,8.6,,,,8.75,7.75,,,,,,
64000341,6.8,6.75,2.6,,,,,7.0,8.0,8.0,7.67,
64000342,6.6,8.0,7.2,8.0,7.5,5.25,6.92,,,,,
64000343,5.6,7.75,2.6,,,,,5.0,5.0,5.75,5.25,
64000344,8.0,6.5,3.6,6.5,8.5,5.5,6.83,,,,,
64000345,7.2,7.0,3.6,6.75,6.0,5.5,6.08,,,,,
64000346,6.2,6.0,4.0,6.0,5.75,4.25,5.33,,,,,
64000347,,7.75,,,,,,8.25,7.5,,,
64000348,8.4,7.5,4.0,8.25,7.75,5.25,7.08,,,,,
64000349,7.8,7.25,5.2,7.0,8.0,5.75,6.92,,,,,
64000350,8.2,7.75,7.0,8.0,7.75,6.5,7.42,,,,,
64000351,6.2,6.25,,,,,,6.25,7.25,,,
64000352,7.4,7.75,2.8,6.75,6.25,4.0,5.67,,,,,
64000353,7.0,6.0,3.4,5.75,7.0,4.5,5.75,,,,,
64000354,5.0,6.25,3.0,6.5,5.5,4.5,5.5,,,,,
64000355,5.8,6.75,3.0,,,,,4.75,6.75,5.5,5.67,
64000356,3.2,6.25,3.2,,,,,5.5,3.25,8.5,5.75,
64000357,3.2,4.5,1.6,,,,,5.75,3.0,6.0,4.92,
64000358,5.4,4.5,3.0,,,,,5.25,4.75,8.0,6.0,
64000359,5.8,7.0,4.0,,,,,6.0,7.0,8.5,7.17,
64000360,4.2,6.0,2.8,,,,,6.5,5.75,8.5,6.92,
64000361,5.2,5.0,3.2,,,,,6.0,6.75,7.75,6.83,
64000362,3.8,4.5,,,,,,6.75,6.75,,,
64000363,5.6,4.5,2.8,,,,,5.5,5.75,7.75,6.33,
64000364,8.2,8.0,6.6,,,,,7.25,6.5,9.25,7.67,
64000365,5.4,7.5,5.4,,,,,5.5,6.25,8.75,6.83,
64000366,4.2,5.75,2.8,,,,,5.25,3.25,6.5,5.0,
64000367,4.6,6.25,3.4,6.75,5.75,5.75,6.08,,,,,
64000368,6.0,6.25,4.4,,,,,7.0,5.5,7.25,6.58,
64000369,7.8,7.5,6.2,8.0,7.5,4.0,6.5,,,,,
64000370,7.0,6.75,4.0,7.75,8.0,6.0,7.25,,,,,
64000371,5.6,6.0,4.2,,,,,5.5,7.75,8.25,7.17,
64000372,5.0,6.25,3.4,,,,,5.5,2.75,5.75,4.67,
64000373,5.4,5.25,3.0,,,,,7.0,5.75,6.75,6.5,
64000374,7.4,8.08,7.4,,,,,7.75,7.25,8.75,7.92,
64000375,7.8,6.25,3.2,6.25,7.75,5.0,6.33,,,,,
64000376,7.4,6.0,3.6,6.75,7.75,4.5,6.33,,,,,
64000377,7.2,7.25,5.6,,,,,5.5,7.75,8.25,7.17,
64000378,5.6,5.75,3.2,,,,,5.5,5.25,8.5,6.42,
64000379,5.6,6.75,3.2,,,,,6.5,7.25,8.0,7.25,
64000380,3.4,5.75,3.4,,,,,6.25,5.75,6.5,6.17,
